CODE,BARCODE,DESC,LANDFRTCD,NOTINUSE,SELLVAT1,STATCODE,TOTALINSTK,,
043006,5.39143E+12,KNAPSACK SPRAYER PROPLUS 22LITRE,3,T,47,D,0,,
0436,5.01851E+12,TACWISE GALV  PLASTIC COLLATED 90MM GALV,3,F,140,A,0,,
0438,5.01851E+12,TACWISE GALV  PLASTIC COLLATED 75MM GALV,3,F,139.9986,A,0,,
044340,,LM-40MM LAMINATED PAD LOCK,3,T,7.8,D,0,,
04573,5.00024E+12,MILD & GENTLE SHAMPOO 250ml,3,F,5.08,A,0,,
04574,5.00024E+12,MEDICATED SHAMPOO 250ml,3,T,5.08,D,0,,
052061,8.42008E+12,60mm ARMOURED PAD LOCK,3,F,29.85,A,0,,
052091,8.42008E+12,90mm ARMOURED PAD LOCK,3,F,38.65,A,,,
053002,8.01196E+12,"IRDO HOSE 25mtr 1/2""",3,T,20,D,,,
053003,8.01196E+12,"IRDO HOSE 50mtr 1/2""",3,T,35,D,,,
053011,8.01196E+12,"WHITE PLUS HOSE 1/2""x 25m",3,T,35,D,,,
053012,8.01196E+12,"WHITE PLUS HOSE 1/2""x 50m",3,T,70,D,,,
053212,8.01196E+12,SUPERFLEX HOSE KIT 25mtr INCL FITTINGS,3,T,25,D,,,
053213,8.01196E+12,SUPERFLEX HOSE KIT 50mtr INCL FITTINGS,3,T,39.5,D,,,
053216,5.39094E+12,HOSE CART WHEELY 25m + FITTINGS,3,T,51.15,D,,,
0580PL,5.0128E+12,BEMIS S/CLOSE TOILET SEAT WHITE,3,F,36.8,A,0,,
060002,5.09968E+12,SOLUS B22 SMD DIMMABLE LED (40W = 6W),3,T,9.95,D,0,,
060003,5.09968E+12,SOLUS B22 SMD DIMMABLE LED (60W = 10W),3,T,9.95,D,0,,
060004,5.09968E+12,SOLUS B22 SMD DIMMABLE LED (75W = 11W),3,T,9.95,D,0,,
060012,5.09968E+12,SOLUS E27 SMD DIMMABLE LED (60W = 9W),3,T,9.95,D,0,,
06005,5.09968E+12,SOLUS GU10 7W 3PACK,3,T,9.99,D,0,,
060103,5.09968E+12,SOLUS B22 CANDLE LED (40W=5W),3,T,9.5,D,0,,
